"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"award_lottery","integer",918,0.575589459084605,6,3.86056644880174,4,4,NA,1.01038905743238,NA,1,5,4,-0.815197292004505,-5.04994219189527,0.0540201394026316,0.16750136759681,NA,NA
"award_time","integer",918,0.575589459084605,6,3.88453159041394,4,4,NA,1.02411509190399,NA,1,5,4,-0.693112482587868,-4.29365750337945,-0.0714749041044294,-0.221623718834008,NA,NA
"award_bandwagon","integer",918,0.575589459084605,6,3.82897603485839,4,4,NA,1.07217674076531,NA,1,5,4,-0.796800671639099,-4.93597975570623,-0.0304416558152498,-0.0943910740948093,NA,NA
"who_researcher","integer",918,0.575589459084605,5,3.31372549019608,3,3,NA,0.804599007277555,NA,1,4,3,-1.13991703573091,-7.06149933329989,0.900216822410809,2.79132098796693,NA,NA
"who_manager","integer",918,0.575589459084605,5,2.97167755991285,3,3,NA,0.837548232018419,NA,1,4,3,-0.703293720705197,-4.3567277128106,0.130011473060839,0.403129273300346,NA,NA
"who_university","integer",918,0.575589459084605,5,2.71895424836601,3,3,NA,0.873385843173615,NA,1,4,3,-0.572041040390934,-3.54365036991546,-0.293914831993713,-0.91134782065252,NA,NA
"who_committee","integer",918,0.575589459084605,5,2.61002178649237,3,3,NA,0.89124409117771,NA,1,4,3,-0.402210355654739,-2.4915919924656,-0.592593843738764,-1.83746803235494,NA,NA
"who_government","integer",918,0.575589459084605,5,2.09150326797386,2,2,NA,0.885059391195589,NA,1,4,3,0.0850232772136716,0.526697817946328,-1.21398733774319,-3.76423573811229,NA,NA
"who_society","integer",918,0.575589459084605,5,2.45424836601307,3,3,NA,0.910126257837079,NA,1,4,3,-0.263206370283922,-1.63049726429298,-0.865431592665614,-2.68346170402355,NA,NA
"co_private","integer",914,0.577438742487286,6,3.25164113785558,3,3,NA,1.12626831914853,NA,1,5,4,-0.104809085019171,-0.64785446485097,-0.90429795878967,-2.79789292317306,NA,NA
"co_connections","integer",913,0.577901063337957,6,3.20153340635268,3,3,NA,1.09969984602613,NA,1,5,4,-0.428507678257893,-2.64728197546231,-0.479789562087245,-1.48365838045922,NA,NA
"co_irrelevant","integer",912,0.578363384188627,6,2.68530701754386,3,3,NA,1.20585978455895,NA,1,5,4,0.361462501662811,2.23186362166084,-0.801963362759457,-2.47856874115126,NA,NA
"time_research","integer",900,0.583911234396671,5,3.04333333333333,3,3,NA,0.543246533758375,NA,1,4,3,-0.260335285163909,-1.59687437845136,1.522814314219,4.67555254540451,NA,NA
"time_education","integer",900,0.583911234396671,5,2.95444444444444,3,3,NA,0.582591561854984,NA,1,4,3,-1.20930110066582,-7.41774954659118,3.71270368221112,11.3992500527536,NA,NA
"time_phds","integer",900,0.583911234396671,5,2.61888888888889,3,3,NA,0.86732740564043,NA,1,4,3,-0.909335088200467,-5.57778367561617,-0.226301150159231,-0.694820707144204,NA,NA
"time_management_low","integer",895,0.586222838650023,5,2.49497206703911,3,3,NA,0.791260551174691,NA,1,4,3,-0.87662313956711,-5.36222378757852,-0.468783750166289,-1.43534227303044,NA,NA
"time_management_hi","integer",890,0.588534442903375,5,1.91011235955056,2,2,NA,0.949103531059951,NA,1,4,3,0.400305739334391,2.44180723657683,-1.31809242231965,-4.02456570791129,NA,NA
"time_service","integer",897,0.585298196948682,5,2.11817168338907,2,2,NA,0.828801981752097,NA,1,4,3,-0.140353329542178,-0.859484033302528,-1.35998051800627,-4.16867118071971,NA,NA
"time_admin","integer",898,0.584835876098012,5,2.62806236080178,3,3,NA,0.693795426773331,NA,1,4,3,-0.993736381030464,-6.08873994324076,0.46551023456522,1.42769289728244,NA,NA
"time_involvement","integer",894,0.586685159500693,5,1.60626398210291,1,1,NA,0.809659573230828,NA,1,4,3,0.906314645626218,5.54075637379246,-0.63841204996169,-1.9536312225826,NA,NA
